task,prompt,t5 output,gpt likelihood
brainstorming_1,Input: A list of restaurants to try in your city. Output:,A list of restaurants to try in your city.,-3.159047471565
brainstorming_28,Input: How can I improve my sales skills? Output:,"There are many ways to improve sales skills, including: 1. Develop a sales plan. 2. Develop a sales strategy. 3. Develop a sales plan. 4. Develop a sales team. 5. Develop a sales process. 6. Develop a sales team. 7. Develop a sales process. 8. Develop a sales team. 9. Develop a sales process. 10. Develop a sales process.",-119.18507253217138
brainstorming_106,Input: What are some tips for living a healthier lifestyle? Output:,"Some tips for living a healthier lifestyle are to eat a healthy diet, to exercise regularly, and to get enough sleep.",-10.674172853002798
brainstorming_80,Input: What are some ideas for a new business? Output:,"Some ideas for a new business include: 1. A home-based business that specializes in providing home-based services to people in need. 2. A mobile app that helps people find local businesses and services. 3. A home-based business that offers a variety of services, including home cleaning, home staging, and home staging. 4. A home-based business that offers a variety of services, including home cleaning, home staging, and home staging. 5. A home-based business that offers a variety of services, including home cleaning, home staging, and home staging.",-170.73499189065438
brainstorming_97,Input: What are some things I can do to be healthier? Output:,What are some things that you can do to be healthier? 1. Eat a healthy diet. 2. Get enough sleep. 3. Get enough exercise. 4. Get enough sleep. 5. Get enough exercise.,-85.48226721014169
brainstorming_69,Input: What are some fun and unique ways to save money? Output:,"Some fun ways to save money are to shop at thrift stores, to donate to charity, and to save money by using coupons.",-60.4294819133434
brainstorming_66,Input: What are some fun activities to do with kids? Output:,"Some fun activities to do with kids are to play games, read books, and watch movies.",-19.883744748814003
brainstorming_96,Input: What are some things I can do to be happier? Output:,"Some things you can do to be happier are to be more positive, to be more mindful, to be more mindful of your surroundings, and to be more mindful of your thoughts.",-45.251201495749996
brainstorming_118,Input: What are some ways to reduce stress? Output:,"Some ways to reduce stress are to take breaks, to exercise, to eat healthy, to sleep well, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks, to take breaks in between tasks,",-112.55802084337995
brainstorming_114,Input: What are some ways to make money on the side? Output:,"Some ways to make money on the side are to start a side business, to start a side hustle, or to start a side business.",-47.9582524717442
brainstorming_12,Input: Generate ideas for a marketing campaign to promote a new product. Output:,1. Develop a marketing campaign that focuses on the product's benefits and appeal. 2. Develop a marketing campaign that focuses on the product's features and appeal. 3. Develop a marketing campaign that focuses on the product's benefits and appeal. 4. Develop a marketing campaign that focuses on the product's features and appeal. 5. Develop a marketing campaign that focuses on the product's features and appeal.,-91.72969778381167
brainstorming_99,Input: What are some things I want to accomplish in the next year? Output:,Some things I want to accomplish in the next year are: 1. Get a new job. 2. Get a new home. 3. Get a new car. 4. Get a new job. 5. Get a new car. 6. Get a new job. 7. Get a new car. 8. Get a new job. 9. Get a new car. 10. Get a new job.,-56.3692934453265
brainstorming_94,Input: What are some small businesses that I could start? Output:,"Some small businesses that you could start are a home-based business, a restaurant, a clothing store, a pet sitting business, and a home-based business.",-45.0630128303
brainstorming_51,Input: Ideas for a fun weekend activity. Output:,1. Go to a local park or beach 2. Go hiking 3. Go camping 4. Go to a museum 5. Go to a museum 6. Go to a museum 7. Go to a museum 8. Go to a museum 9. Go to a museum 10. Go to a museum,-85.25186075547089
brainstorming_20,Input: How can I be more productive? Output:,"There is no one answer to this question as everyone has different productivity needs and preferences. However, some tips to help you be more productive include: -Set goals and objectives for yourself and stick to them -Take breaks and take breaks when needed -Take breaks when needed -Take breaks when needed",-156.02159676426098
chat_11,Input: Check in with a family member you don't get to see often. Output:,"If you're not getting to see your family member often, it's a good idea to check in with them. This way, you can make sure they're doing well and that you're not missing out on any important events.",-83.21371925346651
chat_28,Input: Have a casual conversation with a coworker about something you're both interested in. Output:,Have a casual conversation with a coworker about something you're both interested in.,-4.9304336808478
chat_68,Input: Talk to a stranger in line at the grocery store. You notice that they found a new type of cereal. Output:,I noticed that they found a new type of cereal.,-15.571726292433002
chat_67,Input: Talk to a stranger in line at the grocery store. Output:,Talk to a stranger in line at the grocery store.,-7.517884404868
chat_66,Input: Talk to a friend or family member about something that's been bothering you. Output:,Talk to a friend or family member about something that's been bothering you.,-6.801793900729997
chat_79,Input: This is a conversation with an enlightened Buddha. Every response is full of wisdom and love. Output:,This is a conversation with an enlightened Buddha. Every response is full of wisdom and love.,-3.1470002162750017
chat_30,Input: Have a conversation with a coworker about a project you're both working on. Output:,. I'm working on a project with a coworker and we're both working on it. We're both trying to figure out what we're going to do next. We're both trying to figure out what we're going to do next.,-74.88728269176119
chat_19,Input: Compliment a friend or family member on something you appreciate about them. Output:,Compliment a friend or family member on something you appreciate about them.,-7.197967105599998
chat_21,Input: Discuss weekend trip ideas with a group of work friends who are interested in outdoor activites. Output:,-A weekend trip to the beach or a hike in the mountains would be a great idea. -A weekend trip to the mountains would be a great idea. -A weekend trip to the beach or a hike in the mountains would be a great idea.,-81.2222679832554
chat_54,Input: Plan a weekend getaway with friends. Output:,Plan a weekend getaway with friends.,-10.374095796498
chat_18,Input: Compliment a coworker on their new haircut. Output:,Compliment a coworker on their new haircut.,-8.5965474538695
chat_78,Input: This is a conversation with Steven. Steven likes to watch Netflix and hasn’t left his home in 2 weeks. Output:,Steven: I’m not sure what you’re doing. I’m watching Netflix and I’m not leaving my home in 2 weeks.,-60.54346387891321
chat_40,Input: Make plans with a friend or family member for a future event. Output:,Make plans with a friend or family member for a future event.,-8.120575508970001
chat_10,Input: Check in with a family member to see how their day is going. Output:,Check in with a family member to see how their day is going.,-9.192281050409997
chat_37,"Input: In a one-on-one chat, catch up with a friend you haven't talked to in a while. Output:","In a one-on-one chat, catch up with a friend you haven't talked to in a while.",-8.701156298489199
chat_13,Input: Check in with a friend or family member you don't get to see often. Output:,"If you're not getting to see your friend or family member often, it's a good idea to check in with them. This can be a great way to catch up on what's going on in your life and to make sure you're not missing out on anything.",-107.62970436510952
chat_9,Input: Catch up with an old friend you haven't talked to since you met in high school. Output:,. I've been meaning to catch up with an old friend I haven't talked to since high school. I'm so excited to finally do it!,-74.7569815624727
closedqa_23,"Input: Given the following list of items, choose the ones you would take on a tropical trip: Output:",": a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, sunscreen, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, sunglasses, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat, a hat",-180.14760130169003
closedqa_2,"Input: Given the following answer choices, choose the one which best describes what happens when you drop a heavy stone from a tree. Output:",The stone falls to the ground.,-1.60368472825
closedqa_15,"Input: Given the following images, choose the one that best represents the feeling of the word ""home"". Output:","The image of the house with the blue sky represents the feeling of the word ""home.""",-28.707777274378
closedqa_20,"Input: Given the following list of ingredients, choose the ones you would need to make a cake. Output:",1. Butter 2. eggs 3. flour 4. sugar 5. eggs 6. butter 7. eggs 8. flour 8. eggs 9. butter 10. eggs,-97.51169188636801
closedqa_35,"Input: Given the following scenarios, choose the one you think is most likely to happen. Output:",. 1. A man is killed by a lion. 2. A woman is killed by a lion. 3. A man is killed by a lion. 4. A woman is killed by a lion. 5. A man is killed by a lion.,-81.37254367128601
closedqa_6,"Input: Given the following choices, which would you rather have. Output:","a car or a house? A car would be more expensive, but it would be more comfortable. A house would be more comfortable, but it would be more expensive.",-68.17946634969901
closedqa_1,"Input: Given the following answer choices to a reading comprehension question, choose the one which best answers the question. Output:",Answer: A. The author is a teacher B. The author is a student C. The author is a teacher D. The author is a student,-74.29795385888461
closedqa_11,"Input: Given the following facts about hydrogren and oxygen, tell me how each element is different. Output:",Hydrogen is a gas that is a mixture of water and oxygen. Oxygen is a liquid that is a mixture of water and oxygen. Hydrogen is a gas that is a mixture of water and oxygen.,-69.069971711623
closedqa_3,"Input: Given the following answer choices, choose the one which best describes what happens when you drop a heavy stone from a tree. Output:",The stone falls to the ground.,-1.60368472825
extract_6,"Input: Given this document, find all the instances of the word ""the"" Output:","The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the following sentences: ""The word ""the"" is used in the",-52.207205930131366
extract_24,"Input: Given this recipe, find all the steps required to make the dish. Output:",The recipe for this dish is a chicken and rice dish. The chicken is cooked in a pan with a little bit of olive oil. The rice is cooked in a pan with a little bit of olive oil. The chicken is cooked in a pan with a little bit of olive oil.,-67.84631168492935
extract_11,"Input: Given this list of items, find the ones that are eligible for free shipping. Output:",The items are: a) a t-shirt b) a hat c) a t-shirt d) a hat e) a hat f) a hat g) a hat h) a hat i) a hat j) a hat k) a hat l) a hat m) a hat n) a hat o) a hat n) a hat o) a hat n) a hat o) a hat n) a hat o) a hat n) a hat o) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat n) a hat,-373.03578512419364
extract_10,"Input: Given this list of instructions, find all the steps needed to complete the task. Output:",1. Find the instructions for the task. 2. Find the steps needed to complete the task. 3. Find the steps needed to complete the task. 4. Find the steps needed to complete the task. 5. Find the steps needed to complete the task.,-33.906243019941996
extract_18,"Input: Given this list of student names and grades, find all the students that got an A on their last math test. Output:","The students that got an A on their last math test are: A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, R, S, T, U, V, W, X, Y, Z",-42.70750471868001
extract_8,"Input: Given this list of ingredients, find all the ones that are needed to make a specific dish. Output:",: 1 cup of water 1 cup of sugar 1 cup of flour 1 cup of baking powder 1 cup of salt 1 cup of pepper 1 cup of sugar 1 cup of flour,-84.427259637969
extract_29,"Input: Given this set of instructions, follow them to make a cake. Output:",The cake should be made of a cake mix and butter. The cake should be made of a cake mix and butter.,-52.14602418301001
